diagnostic_A.L	D1L
surgery_A.L	S1L	
surgery_A.L	S1L	
surgery_A.L	S1L	
surgery_A.L	S1L	
surgery_A.L	S1L	
surgery_A.L	S1L	
surgery_A.L	S1L	
surgery_A.L	S1L	
surgery_A.L	S1L	
surgery_A.R	S1R	
surgery_A.R	S1R	
relapse_A.R	R1R	
relapse_A.R	R1R	
relapse_A.R	R1R	
diagnostic_B	D2	
diagnostic_B	D2	
diagnostic_B	D2	
surgery_B	S2	
surgery_B	S2	
surgery_B	S2	
surgery_B	S2	
surgery_B	S2	
surgery_B	S2	
surgery_B	S2	
surgery_B	S2	
surgery_B	S2	
diagnostic_C	D3	
diagnostic_C	D3	
diagnostic_C	D3	
surgery_C	S3	
surgery_C	S3	
surgery_C	S3	
surgery_C	S3	
surgery_C	S3	
surgery_C	S3	
surgery_C	S3	
surgery_C	S3	
